"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardianx.Math","traveltimex.Math","studytimex.Math","failuresx.Math","schoolsupx.Math","famsupx.Math","paidx.Math","activitiesx.Math","nursery","higherx.Math","internet","romanticx.Math","famrelx.Math","freetimex.Math","gooutx.Math","Dalcx.Math","Walcx.Math","healthx.Math","absencesx.Math","G1x.Math","G2x.Math","G3x.Math","guardiany.Por","traveltimey.Por","studytimey.Por","failuresy.Por","schoolsupy.Por","famsupy.Por","paidy.Por","activitiesy.Por","highery.Por","romanticy.Por","famrely.Por","freetimey.Por","goouty.Por","Dalcy.Por","Walcy.Por","healthy.Por","absencesy.Por","G1y.Por","G2y.Por","G3y.Por"
"1","GP","F",18,"U","GT3","A",4,4,"at_home","teacher","course","mother",2,2,0,"yes","no","no","no","yes","yes","no","no",4,3,4,1,1,3,6,5,6,6,"mother",2,2,0,"yes","no","no","no","yes","no",4,3,4,1,1,3,4,0,11,11
"2","GP","F",17,"U","GT3","T",1,1,"at_home","other","course","father",1,2,0,"no","yes","no","no","no","yes","yes","no",5,3,3,1,1,3,4,5,5,6,"father",1,2,0,"no","yes","no","no","yes","no",5,3,3,1,1,3,2,9,11,11
"3","GP","F",15,"U","LE3","T",1,1,"at_home","other","other","mother",1,2,3,"yes","no","yes","no","yes","yes","yes","no",4,3,2,2,3,3,10,7,8,10,"mother",1,2,0,"yes","no","no","no","yes","no",4,3,2,2,3,3,6,12,13,12
"4","GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",1,3,0,"no","yes","yes","yes","yes","yes","yes","yes",3,2,2,1,1,5,2,15,14,15,"mother",1,3,0,"no","yes","no","yes","yes","yes",3,2,2,1,1,5,0,14,14,14
"5","GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,0,"no","yes","yes","no","yes","yes","no","no",4,3,2,1,2,5,4,6,10,10,"father",1,2,0,"no","yes","no","no","yes","no",4,3,2,1,2,5,0,11,13,13
"6","GP","M",16,"U","LE3","T",4,3,"services","other","reputation","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",5,4,2,1,2,5,10,15,15,15,"mother",1,2,0,"no","yes","no","yes","yes","no",5,4,2,1,2,5,6,12,12,13
"7","GP","M",16,"U","LE3","T",2,2,"other","other","home","mother",1,2,0,"no","no","no","no","yes","yes","yes","no",4,4,4,1,1,3,0,12,12,11,"mother",1,2,0,"no","no","no","no","yes","no",4,4,4,1,1,3,0,13,12,13
"8","GP","F",17,"U","GT3","A",4,4,"other","teacher","home","mother",2,2,0,"yes","yes","no","no","yes","yes","no","no",4,1,4,1,1,1,6,6,5,6,"mother",2,2,0,"yes","yes","no","no","yes","no",4,1,4,1,1,1,2,10,13,13
"9","GP","M",15,"U","LE3","A",3,2,"services","other","home","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","no",4,2,2,1,1,1,0,16,18,19,"mother",1,2,0,"no","yes","no","no","yes","no",4,2,2,1,1,1,0,15,16,17
"10","GP","M",15,"U","GT3","T",3,4,"other","other","home","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",5,5,1,1,1,5,0,14,15,15,"mother",1,2,0,"no","yes","no","yes","yes","no",5,5,1,1,1,5,0,12,12,13
"11","GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","no",3,3,3,1,2,2,0,10,8,9,"mother",1,2,0,"no","yes","no","no","yes","no",3,3,3,1,2,2,2,14,14,14
"12","GP","F",15,"U","GT3","T",2,1,"services","other","reputation","father",3,3,0,"no","yes","no","yes","yes","yes","yes","no",5,2,2,1,1,4,4,10,12,12,"father",3,3,0,"no","yes","no","yes","yes","no",5,2,2,1,1,4,0,10,12,13
"13","GP","M",15,"U","LE3","T",4,4,"health","services","course","father",1,1,0,"no","yes","yes","yes","yes","yes","yes","no",4,3,3,1,3,5,2,14,14,14,"father",1,1,0,"no","yes","no","yes","yes","no",4,3,3,1,3,5,0,12,13,12
"14","GP","M",15,"U","GT3","T",4,3,"teacher","other","course","mother",2,2,0,"no","yes","yes","no","yes","yes","yes","no",5,4,3,1,2,3,2,10,10,11,"mother",2,2,0,"no","yes","no","no","yes","no",5,4,3,1,2,3,0,12,12,13
"15","GP","M",15,"U","GT3","A",2,2,"other","other","home","other",1,3,0,"no","yes","no","no","yes","yes","yes","yes",4,5,2,1,1,3,0,14,16,16,"other",1,3,0,"no","yes","no","no","yes","yes",4,5,2,1,1,3,0,14,14,15
"16","GP","F",16,"U","GT3","T",4,4,"health","other","home","mother",1,1,0,"no","yes","no","no","yes","yes","yes","no",4,4,4,1,2,2,4,14,14,14,"mother",1,1,0,"no","yes","no","no","yes","no",4,4,4,1,2,2,6,17,17,17
"17","GP","F",16,"U","GT3","T",4,4,"services","services","reputation","mother",1,3,0,"no","yes","yes","yes","yes","yes","yes","no",3,2,3,1,2,2,6,13,14,14,"mother",1,3,0,"no","yes","no","yes","yes","no",3,2,3,1,2,2,10,13,13,14
"18","GP","F",16,"U","GT3","T",3,3,"other","other","reputation","mother",3,2,0,"yes","yes","no","yes","yes","yes","no","no",5,3,2,1,1,4,4,8,10,10,"mother",3,2,0,"yes","yes","no","yes","yes","no",5,3,2,1,1,4,2,13,14,14
"19","GP","M",17,"U","GT3","T",3,2,"services","services","course","mother",1,1,3,"no","yes","no","yes","yes","yes","yes","no",5,5,5,2,4,5,16,6,5,5,"mother",1,1,3,"no","yes","yes","yes","yes","no",5,5,5,2,4,5,2,8,8,7
"20","GP","M",16,"U","LE3","T",4,3,"health","other","home","father",1,1,0,"no","no","yes","yes","yes","yes","yes","no",3,1,3,1,3,5,4,8,10,10,"father",1,1,0,"no","no","no","yes","yes","no",3,1,3,1,3,5,6,12,12,12
"21","GP","M",15,"U","GT3","T",4,3,"teacher","other","reputation","mother",1,2,0,"no","no","no","no","yes","yes","yes","no",4,4,1,1,1,1,0,13,14,15,"mother",1,2,0,"no","no","no","no","yes","no",4,4,1,1,1,1,0,12,13,14
"22","GP","M",15,"U","GT3","T",4,4,"health","health","other","father",1,1,0,"no","yes","yes","no","yes","yes","yes","no",5,4,2,1,1,5,0,12,15,15,"father",1,1,0,"no","yes","yes","no","yes","no",5,4,2,1,1,5,0,11,12,12
"23","GP","M",16,"U","LE3","T",4,2,"teacher","other","course","mother",1,2,0,"no","no","no","yes","yes","yes","yes","no",4,5,1,1,3,5,2,15,15,16,"mother",1,2,0,"no","no","no","yes","yes","no",4,5,1,1,3,5,0,12,13,14
"24","GP","M",16,"U","LE3","T",2,2,"other","other","reputation","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,4,2,4,5,0,13,13,12,"mother",2,2,0,"no","yes","no","yes","yes","no",5,4,4,2,4,5,2,10,10,10
"25","GP","F",15,"R","GT3","T",2,4,"services","health","course","mother",1,3,0,"yes","yes","yes","yes","yes","yes","yes","no",4,3,2,1,1,5,2,10,9,8,"mother",1,3,0,"yes","yes","no","yes","yes","no",4,3,2,1,1,5,2,10,11,10
"26","GP","F",16,"U","GT3","T",2,2,"services","services","home","mother",1,1,2,"no","yes","yes","no","no","yes","yes","no",1,2,2,1,3,5,14,6,9,8,"mother",1,1,0,"no","yes","no","no","yes","no",1,2,2,1,3,5,6,10,11,12
"27","GP","M",15,"U","GT3","T",2,2,"other","other","home","mother",1,1,0,"no","yes","yes","no","yes","yes","yes","no",4,2,2,1,2,5,2,12,12,11,"mother",1,1,0,"no","yes","no","no","yes","no",4,2,2,1,2,5,8,11,12,12
"28","GP","M",15,"U","GT3","T",4,2,"health","services","other","mother",1,1,0,"no","no","yes","no","yes","yes","yes","no",2,2,4,2,4,1,4,15,16,15,"mother",1,1,0,"no","no","no","no","yes","no",2,2,4,2,4,1,0,11,11,11
"29","GP","M",16,"U","LE3","A",3,4,"services","other","home","mother",1,2,0,"yes","yes","no","yes","yes","yes","yes","no",5,3,3,1,1,5,4,11,11,11,"mother",1,2,0,"yes","yes","yes","yes","yes","no",5,3,3,1,1,5,2,12,12,13
"30","GP","M",16,"U","GT3","T",4,4,"teacher","teacher","home","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","yes",4,4,5,5,5,5,16,10,12,11,"mother",1,2,0,"no","yes","yes","yes","yes","yes",4,4,5,5,5,5,4,12,11,12
"31","GP","M",15,"U","GT3","T",4,4,"health","services","home","mother",1,2,0,"no","yes","yes","no","no","yes","yes","no",5,4,2,3,4,5,0,9,11,12,"mother",1,2,0,"no","yes","yes","no","yes","no",5,4,2,3,4,5,0,10,11,11
"32","GP","M",15,"U","GT3","T",4,4,"services","services","reputation","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",4,3,1,1,1,5,0,17,16,17,"mother",2,2,0,"no","yes","no","yes","yes","no",4,3,1,1,1,5,2,15,15,15
"33","GP","M",15,"R","GT3","T",4,3,"teacher","at_home","course","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","yes",4,5,2,1,1,5,0,17,16,16,"mother",1,2,0,"no","yes","no","yes","yes","yes",4,5,2,1,1,5,0,13,14,15
"34","GP","M",15,"U","LE3","T",3,3,"other","other","course","mother",1,2,0,"no","no","no","yes","no","yes","yes","no",5,3,2,1,1,2,0,8,10,12,"mother",1,2,0,"no","no","no","yes","yes","no",5,3,2,1,1,2,0,13,12,12
"35","GP","M",16,"U","GT3","T",3,2,"other","other","home","mother",1,1,0,"no","yes","yes","no","no","yes","yes","no",5,4,3,1,1,5,0,12,14,15,"mother",1,1,0,"no","yes","no","no","yes","no",5,4,3,1,1,5,4,12,12,12
"36","GP","F",15,"U","GT3","T",2,3,"other","other","other","father",2,1,0,"no","yes","no","yes","yes","yes","no","no",3,5,1,1,1,5,0,8,7,6,"father",2,1,0,"no","yes","no","yes","yes","no",3,5,1,1,1,5,4,11,11,11
"37","GP","M",15,"U","LE3","T",4,3,"teacher","services","home","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",5,4,3,1,1,4,2,15,16,18,"mother",1,3,0,"no","yes","no","yes","yes","no",5,4,3,1,1,4,0,14,14,14
"38","GP","M",16,"R","GT3","A",4,4,"other","teacher","reputation","mother",2,3,0,"no","yes","no","yes","yes","yes","yes","yes",2,4,3,1,1,5,7,15,16,15,"mother",2,3,0,"no","yes","no","yes","yes","yes",2,4,3,1,1,5,4,13,13,13
"39","GP","F",15,"R","GT3","T",3,4,"services","health","course","mother",1,3,0,"yes","yes","yes","yes","yes","yes","yes","no",4,3,2,1,1,5,2,12,12,11,"mother",1,3,0,"yes","yes","no","yes","yes","no",4,3,2,1,1,5,2,11,12,12
"40","GP","F",15,"R","GT3","T",2,2,"at_home","other","reputation","mother",1,1,0,"yes","yes","yes","yes","yes","yes","no","no",4,3,1,1,1,2,8,14,13,13,"mother",1,1,0,"yes","yes","no","yes","yes","no",4,3,1,1,1,2,8,14,13,12
"41","GP","F",16,"U","LE3","T",2,2,"other","other","home","mother",2,2,1,"no","yes","no","yes","no","yes","yes","yes",3,3,3,1,2,3,25,7,10,11,"mother",2,2,0,"no","yes","no","yes","yes","yes",3,3,3,1,2,3,16,11,11,10
"42","GP","M",15,"U","LE3","T",4,4,"teacher","other","home","other",1,1,0,"no","yes","no","no","no","yes","yes","yes",5,4,3,2,4,5,8,12,12,12,"other",1,1,0,"no","yes","no","no","yes","yes",5,4,3,2,4,5,8,10,11,11
"43","GP","M",15,"U","GT3","T",4,4,"services","teacher","course","father",1,2,0,"no","yes","no","yes","yes","yes","yes","no",4,3,3,1,1,5,2,19,18,18,"father",1,2,0,"no","yes","no","yes","yes","no",4,3,3,1,1,5,0,14,15,15
"44","GP","M",15,"U","GT3","T",2,2,"services","services","course","father",1,1,0,"yes","yes","no","no","yes","yes","yes","no",5,4,1,1,1,1,0,8,8,11,"father",1,1,0,"yes","yes","no","no","yes","no",5,4,1,1,1,1,0,9,10,10
"45","GP","F",16,"U","LE3","T",2,2,"other","at_home","course","father",2,2,1,"yes","no","no","yes","yes","yes","yes","no",4,3,3,2,2,5,14,10,10,9,"father",2,2,1,"yes","no","no","yes","yes","no",4,3,3,2,2,5,14,10,11,11
"46","GP","F",15,"U","LE3","A",4,3,"other","other","course","mother",1,2,0,"yes","yes","yes","yes","yes","yes","yes","yes",5,2,2,1,1,5,8,8,8,6,"mother",1,2,0,"yes","yes","yes","yes","yes","yes",5,2,2,1,1,5,4,10,11,11
"47","GP","F",16,"U","LE3","A",3,3,"other","services","home","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",2,3,5,1,4,3,12,11,12,11,"mother",1,2,0,"no","yes","no","no","yes","no",2,3,5,1,4,3,6,13,12,13
"48","GP","M",16,"U","GT3","T",4,3,"health","services","reputation","mother",1,4,0,"no","no","no","yes","yes","yes","yes","no",4,2,2,1,1,2,4,19,19,20,"mother",1,4,0,"no","no","no","yes","yes","no",4,2,2,1,1,2,2,17,17,17
"49","GP","M",15,"U","GT3","T",4,2,"teacher","other","home","mother",1,2,0,"no","yes","yes","no","yes","yes","no","no",4,3,3,2,2,5,2,15,15,14,"mother",1,2,0,"no","yes","no","no","yes","no",4,3,3,2,2,5,4,11,12,13
"50","GP","F",15,"U","GT3","T",4,4,"services","teacher","other","father",1,2,1,"yes","yes","no","yes","no","yes","yes","no",4,4,4,1,1,3,2,7,7,7,"father",1,2,0,"yes","yes","no","yes","yes","no",4,4,4,1,1,3,2,13,12,12
"51","GP","F",16,"U","LE3","T",2,2,"services","services","course","mother",3,2,0,"no","yes","yes","no","yes","yes","yes","no",4,3,3,2,3,4,2,12,13,13,"mother",3,2,0,"no","yes","no","no","yes","no",4,3,3,2,3,4,0,14,13,13
"52","GP","F",15,"U","LE3","T",4,2,"health","other","other","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","no",4,3,3,1,1,5,2,11,13,13,"mother",1,2,0,"no","yes","no","no","yes","no",4,3,3,1,1,5,0,16,14,16
"53","GP","M",15,"U","LE3","A",4,2,"health","health","other","father",2,1,1,"no","no","no","no","yes","yes","no","no",5,5,5,3,4,5,6,11,11,10,"father",2,1,0,"no","no","no","no","yes","no",5,5,5,3,4,5,4,10,9,9
"54","GP","F",15,"U","GT3","T",4,4,"services","services","course","mother",1,1,0,"yes","yes","yes","no","yes","yes","yes","no",3,3,4,2,3,5,0,8,10,11,"mother",1,1,0,"yes","yes","no","no","yes","no",3,3,4,2,3,5,0,13,12,12
"55","GP","F",15,"U","LE3","A",3,3,"other","other","other","mother",1,1,0,"no","no","yes","no","yes","yes","yes","no",5,3,4,4,4,1,6,10,13,13,"mother",1,1,0,"no","no","no","no","yes","no",5,3,4,4,4,1,0,13,12,13
"56","GP","F",16,"U","GT3","A",2,1,"other","other","other","mother",1,2,0,"no","no","yes","yes","yes","yes","yes","yes",5,3,4,1,1,2,8,8,9,10,"mother",1,2,0,"no","no","no","yes","yes","yes",5,3,4,1,1,2,2,12,13,12
"57","GP","F",15,"U","GT3","A",4,3,"services","services","reputation","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",4,3,2,1,1,1,0,14,15,15,"mother",1,2,0,"no","yes","no","yes","yes","no",4,3,2,1,1,1,0,15,14,15
"58","GP","M",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",1,2,0,"no","yes","no","yes","yes","yes","no","no",3,2,2,1,1,5,4,14,15,15,"mother",1,2,0,"no","yes","no","yes","yes","no",3,2,2,1,1,5,8,15,15,16
"59","GP","M",15,"U","LE3","T",1,2,"other","at_home","home","father",1,2,0,"yes","yes","no","yes","yes","yes","yes","no",4,3,2,1,1,5,2,9,10,9,"father",1,2,0,"yes","yes","no","yes","yes","no",4,3,2,1,1,5,0,14,13,14
"60","GP","F",16,"U","GT3","T",4,2,"services","other","course","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",4,2,3,1,1,5,2,15,16,16,"mother",1,2,0,"no","yes","yes","no","yes","no",4,2,3,1,1,5,2,16,15,16
"61","GP","F",16,"R","GT3","T",4,4,"health","teacher","other","mother",1,2,0,"no","yes","no","yes","yes","yes","no","no",2,4,4,2,3,4,6,10,11,11,"mother",1,2,0,"no","yes","no","yes","yes","no",2,4,4,2,3,4,0,17,16,16
"62","GP","F",16,"U","GT3","T",1,1,"services","services","course","father",4,1,0,"yes","yes","no","yes","no","yes","yes","yes",5,5,5,5,5,5,6,10,8,11,"father",4,1,0,"yes","yes","no","yes","yes","yes",5,5,5,5,5,5,0,10,10,16
"63","GP","F",16,"U","LE3","T",1,2,"other","services","reputation","father",1,2,0,"yes","no","no","yes","yes","yes","yes","no",4,4,3,1,1,1,4,8,10,9,"father",1,2,0,"yes","no","no","yes","yes","no",4,4,3,1,1,1,0,13,13,10
"64","GP","F",16,"U","GT3","T",4,3,"teacher","health","home","mother",1,3,0,"yes","yes","yes","yes","yes","yes","yes","no",3,4,4,2,4,4,2,10,9,9,"mother",1,3,0,"yes","yes","no","yes","yes","no",3,4,4,2,4,4,0,14,13,13
"65","GP","F",15,"U","LE3","T",4,3,"services","services","reputation","father",1,2,0,"yes","no","no","yes","yes","yes","yes","yes",4,4,4,2,4,2,0,10,10,10,"father",1,2,0,"yes","no","no","yes","yes","yes",4,4,4,2,4,2,0,13,12,12
"66","GP","F",16,"U","LE3","T",4,3,"teacher","services","course","mother",3,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,3,1,2,1,2,16,15,15,"mother",3,2,0,"no","yes","no","yes","yes","no",5,4,3,1,2,1,2,16,15,16
"67","GP","M",15,"U","GT3","A",4,4,"other","services","reputation","mother",1,4,0,"no","yes","no","yes","no","yes","yes","yes",1,3,3,5,5,3,4,13,13,12,"mother",1,4,0,"no","yes","no","yes","yes","yes",1,3,3,5,5,3,0,11,12,12
"68","GP","F",16,"U","GT3","T",3,1,"services","other","course","mother",1,4,0,"yes","yes","yes","no","yes","yes","yes","no",4,3,3,1,2,5,4,7,7,6,"mother",1,4,0,"yes","yes","no","no","yes","no",4,3,3,1,2,5,0,10,9,10
"69","GP","F",15,"R","LE3","T",2,2,"health","services","reputation","mother",2,2,0,"yes","yes","yes","no","yes","yes","yes","no",4,1,3,1,3,4,2,8,9,8,"mother",2,2,0,"yes","yes","no","no","yes","no",4,1,3,1,3,4,0,11,10,11
"70","GP","F",15,"R","LE3","T",3,1,"other","other","reputation","father",2,4,0,"no","yes","no","no","no","yes","yes","no",4,4,2,2,3,3,12,16,16,16,"father",2,4,0,"no","yes","no","no","yes","no",4,4,2,2,3,3,6,15,15,15
"71","GP","M",16,"U","GT3","T",3,1,"other","other","reputation","father",2,4,0,"no","yes","yes","no","yes","yes","yes","no",4,3,2,1,1,5,0,13,15,15,"father",2,4,0,"no","yes","no","no","yes","no",4,3,2,1,1,5,2,13,11,11
"72","GP","M",15,"U","GT3","T",4,2,"other","other","course","mother",1,4,0,"no","no","no","no","yes","yes","yes","no",3,3,3,1,1,3,0,10,10,10,"mother",1,4,0,"no","no","no","no","yes","no",3,3,3,1,1,3,0,11,9,10
"73","GP","F",15,"R","GT3","T",1,1,"other","other","reputation","mother",1,2,2,"yes","yes","no","no","no","yes","yes","yes",3,3,4,2,4,5,2,8,6,5,"mother",1,2,0,"yes","yes","no","no","yes","yes",3,3,4,2,4,5,2,13,11,11
"74","GP","M",16,"U","GT3","T",3,1,"other","other","reputation","mother",1,1,0,"no","no","no","yes","yes","yes","no","no",5,3,2,2,2,5,2,12,12,14,"mother",1,1,0,"no","no","no","yes","yes","no",5,3,2,2,2,5,0,13,13,14
"75","GP","F",16,"U","GT3","T",3,3,"other","services","home","mother",1,2,0,"yes","yes","yes","yes","yes","yes","yes","no",4,3,3,2,4,5,54,11,12,11,"mother",1,2,0,"yes","yes","no","yes","yes","no",4,3,3,2,4,5,4,11,11,11
"76","GP","M",15,"U","GT3","T",4,3,"teacher","other","home","mother",1,2,0,"no","yes","yes","yes","yes","yes","yes","no",4,3,3,2,3,5,6,9,9,10,"mother",1,2,0,"no","yes","no","yes","yes","no",4,3,3,2,3,5,0,11,11,11
"77","GP","M",15,"U","GT3","T",4,0,"teacher","other","course","mother",2,4,0,"no","no","no","yes","yes","yes","yes","no",3,4,3,1,1,1,8,11,11,10,"mother",2,4,0,"no","no","no","yes","yes","no",3,4,3,1,1,1,0,12,11,11
"78","GP","F",16,"U","GT3","T",2,2,"other","other","reputation","mother",1,4,0,"no","no","yes","no","yes","yes","yes","yes",5,2,3,1,3,3,0,11,11,11,"mother",1,4,0,"no","no","no","no","yes","yes",5,2,3,1,3,3,1,13,13,13
"79","GP","M",17,"U","GT3","T",2,1,"other","other","home","mother",2,1,3,"yes","yes","no","yes","yes","no","yes","no",4,5,1,1,1,3,2,8,8,10,"mother",2,1,3,"yes","yes","no","yes","no","no",4,5,1,1,1,3,0,9,9,10
"80","GP","M",17,"U","GT3","T",2,1,"other","other","home","mother",2,1,3,"yes","yes","no","yes","yes","no","yes","no",4,5,1,1,1,3,2,8,8,10,"mother",1,1,0,"no","yes","no","no","yes","no",5,4,5,1,2,5,22,9,7,6
"81","GP","F",16,"U","GT3","T",3,4,"at_home","other","course","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",2,4,3,1,2,3,12,5,5,5,"mother",1,2,0,"no","yes","no","no","yes","no",2,4,3,1,2,3,14,12,11,11
"82","GP","M",15,"U","GT3","T",2,3,"other","services","course","father",1,1,0,"yes","yes","yes","yes","no","yes","yes","yes",3,2,2,1,3,3,2,10,12,12,"father",1,1,0,"yes","yes","no","yes","yes","yes",3,2,2,1,3,3,0,11,11,12
"83","GP","M",15,"U","GT3","T",2,3,"other","other","home","mother",1,3,0,"yes","no","yes","no","no","yes","yes","no",5,3,2,1,2,5,4,11,10,11,"mother",1,3,0,"yes","no","no","no","yes","no",5,3,2,1,2,5,2,10,9,9
"84","GP","F",15,"U","LE3","T",3,2,"services","other","reputation","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","no",4,4,4,1,1,5,10,7,6,6,"mother",1,2,0,"no","yes","no","no","yes","no",4,4,4,1,1,5,4,12,11,11
"85","GP","M",15,"U","LE3","T",2,2,"services","services","home","mother",2,2,0,"no","no","yes","yes","yes","yes","yes","no",5,3,3,1,3,4,4,15,15,15,"mother",2,2,0,"no","no","yes","yes","yes","no",5,3,3,1,3,4,2,13,12,13
"86","GP","F",15,"U","GT3","T",1,1,"other","other","home","father",1,2,0,"no","yes","no","yes","no","yes","yes","no",4,3,2,2,3,4,2,9,10,10,"father",1,2,0,"no","yes","no","yes","yes","no",4,3,2,2,3,4,2,13,12,12
"87","GP","F",15,"U","GT3","T",4,4,"services","services","reputation","father",2,2,2,"no","no","yes","no","yes","yes","yes","yes",4,4,4,2,3,5,6,7,9,8,"father",2,2,0,"no","no","no","no","yes","yes",4,4,4,2,3,5,4,12,11,12
"88","GP","F",16,"U","LE3","T",2,2,"at_home","other","course","mother",1,2,0,"no","yes","no","no","yes","yes","no","no",4,3,4,1,2,2,4,8,7,6,"mother",1,2,0,"no","yes","no","no","yes","no",4,3,4,1,2,2,6,13,11,11
"89","GP","F",15,"U","GT3","T",4,2,"other","other","reputation","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","no",5,3,3,1,3,1,4,13,14,14,"mother",1,3,0,"no","yes","no","yes","yes","no",5,3,3,1,3,1,4,15,15,15
"90","GP","M",16,"U","GT3","T",2,2,"services","other","reputation","father",2,2,1,"no","no","yes","yes","no","yes","yes","no",4,4,2,1,1,3,12,11,10,10,"father",2,2,0,"no","no","no","yes","yes","no",4,4,2,1,1,3,6,12,10,11
"91","GP","M",16,"U","LE3","A",4,4,"teacher","health","reputation","mother",1,2,0,"no","yes","no","no","yes","yes","no","no",4,1,3,3,5,5,18,8,6,7,"mother",1,2,0,"no","yes","no","no","yes","no",4,1,3,3,5,5,6,9,9,10
"92","GP","F",16,"U","GT3","T",3,3,"other","other","home","mother",1,3,0,"no","yes","yes","no","yes","yes","yes","yes",4,3,3,1,3,4,0,7,7,8,"mother",1,3,0,"no","yes","no","no","yes","yes",4,3,3,1,3,4,2,9,11,11
"93","GP","F",15,"U","GT3","T",4,3,"services","other","reputation","mother",1,1,0,"no","no","yes","yes","yes","yes","yes","no",4,5,5,1,3,1,4,16,17,18,"mother",1,1,0,"no","no","no","yes","yes","no",4,5,5,1,3,1,6,14,13,13
